item_code_id,mat,item.type,item.ex,Dispersive.capacity,LS,Activity.group,Mode
593,Expanded plastics,Buoy/float,"Marine safety, survival & boating equipment",Discarded at Sea,Sea,Dumping (at sea),Abandonment
602,Metal,Metal large,Metal marine engine & boat parts & fittings,Discarded at Sea,Sea,Dumping (at sea),Dumping
694,Other,Metal large,"Boat parts, wreckage & remnants",Discarded at Sea,Sea,Dumping (at sea),Abandonment
654,Cloth,Rope (natural),Rope natural (estimated length in metres),Discarded at Sea,Sea,Fishing (Commercial),Dumping
56,Expanded plastics,Buoy/float,Drift net floats,Discarded at Sea,Sea,Fishing (Commercial),Fishing
576,Expanded plastics,Foam,Foam buoys,Discarded at Sea,Sea,Fishing (Commercial),Fishing
600,Metal,Buoy/float,Metal buoys & Floats,Discarded at Sea,Sea,Fishing (Commercial),Fishing
156,Hard & soft plastic,Strapping band,Strapping band scraps,Discarded at Sea,Sea,Fishing (Commercial),Indwaste
542,Hard & soft plastic,Fishing (Plastic),"Bait containers & lids, bait savers",Discarded at Sea,Sea,Fishing (Commercial),Fishing
561,Hard & soft plastic,Buoy/float,"Commercial fishing remnants (float, pot, crate bits)",Discarded at Sea,Sea,Fishing (Commercial),Fishing
562,Hard & soft plastic,Fishing (Plastic),"Commercial fishing traps, pots & intact parts",Discarded at Sea,Sea,Fishing (Commercial),Fishing
566,Hard & soft plastic,Cyalume,Cyalume glow sticks,Discarded at Sea,Sea,Fishing (Commercial),Litter
571,Hard & soft plastic,Fishing (Plastic),Fishing line in metres commercial (monofilament),Discarded at Sea,Sea,Fishing (Commercial),Fishing
572,Hard & soft plastic,Fishing net,Fishing net over 1 metre in metres,Discarded at Sea,Sea,Fishing (Commercial),Fishing
625,Hard & soft plastic,Buoy/float,Plastic buoys and floats,Discarded at Sea,Sea,Fishing (Commercial),Fishing
655,Hard & soft plastic,Rope (Plastic),Rope & net scraps less than 1 metre,Discarded at Sea,Sea,Fishing (Commercial),Dumping
656,Hard & soft plastic,Rope (Plastic),Rope (estimated length in metres),Discarded at Sea,Sea,Fishing (Commercial),Dumping
670,Hard & soft plastic,Plastic strap,Strapping band whole (record as single item),Discarded at Sea,Sea,Fishing (Commercial),Indwaste
696,Wood,Wood,Wooden Fishing Items,Discarded at Sea,Sea,Fishing (Commercial),Fishing
653,Hard & soft plastic,Plastic scrap,Research items oceanic,Discarded at Sea,Sea,Research Activities,Abandonment
574,Glass & ceramic,Light bulbs,Fluorescent light tubes and bulbs,Discarded at Sea,Land,Unknown,Dumping
