event_id,Item,Totals,Item Note
23867,Foam insulation & packaging (whole and remnants),13600,13600 x polystyrene balls
21495,Foam insulation & packaging (whole and remnants),4954,4954 x polystyrene balls
23162,Foam insulation & packaging (whole and remnants),1609,1607 x polystyrene balls
21439,Foam insulation & packaging (whole and remnants),1600,1600 polystyrene balls
20822,Foam insulation & packaging (whole and remnants),1442,"74 x small pieces, 1368 x polystyrene balls"
22462,Foam insulation & packaging (whole and remnants),885,885 x polystyrene balls
23807,Foam insulation & packaging (whole and remnants),682,682 x polystyrene balls
21486,Foam insulation & packaging (whole and remnants),489,489 x polystyrene balls
21536,Foam insulation & packaging (whole and remnants),444,444 x polystyrene balls
20910,Foam insulation & packaging (whole and remnants),425,65 small pieces of polystyrene and 360 polystyrene balls
22088,Foam insulation & packaging (whole and remnants),410,410 x polystyrene balls
21487,Foam insulation & packaging (whole and remnants),403,403 x polystyrene balls
22592,Foam insulation & packaging (whole and remnants),380,380 x polystyrene balls
21384,Foam insulation & packaging (whole and remnants),355,355 x polystyrene balls
21542,Foam insulation & packaging (whole and remnants),319,319 x polystyrene balls
23226,Foam insulation & packaging (whole and remnants),302,299 x polystyrene balls
21498,Foam insulation & packaging (whole and remnants),260,260 x polystyrene balls
20897,Foam insulation & packaging (whole and remnants),250,250 estimated polystyrene balls
22517,Foam insulation & packaging (whole and remnants),209,209 x polystyrene balls
22456,Foam insulation & packaging (whole and remnants),203,203 x polystyrene balls
20859,Foam insulation & packaging (whole and remnants),131,131 x very small pieces of individual polystyrene balls
21491,Foam insulation & packaging (whole and remnants),114,114 x polystyrene balls
22496,Foam insulation & packaging (whole and remnants),108,108 x polystyrene balls
21540,Foam insulation & packaging (whole and remnants),84,84 x polystyrene balls
21481,Foam insulation & packaging (whole and remnants),84,84 x polystyrene balls
23227,Foam insulation & packaging (whole and remnants),80,80 x polystyrene balls
22090,Foam insulation & packaging (whole and remnants),68,68 x polystyrene balls
21879,Foam insulation & packaging (whole and remnants),65,65 x polystyrene balls
22091,Foam insulation & packaging (whole and remnants),60,60 x polystyrene balls
21479,Foam insulation & packaging (whole and remnants),57,57 x polystyrene balls
21547,Foam insulation & packaging (whole and remnants),56,56 x polystyrene balls
22593,Foam insulation & packaging (whole and remnants),55,55 x polystyrene ball
21496,Foam insulation & packaging (whole and remnants),52,52 x polystyrene balls
21480,Foam insulation & packaging (whole and remnants),52,52 x polystyrene balls
21867,Foam insulation & packaging (whole and remnants),52,52 x polystyrene balls
21862,Foam insulation & packaging (whole and remnants),52,52 x polystyrene balls
22092,Foam insulation & packaging (whole and remnants),46,46 x polystyrene balls
21771,Foam insulation & packaging (whole and remnants),45,45 x polystyrene balls
23225,Foam insulation & packaging (whole and remnants),44,42 x polystyrene balls
21464,Foam insulation & packaging (whole and remnants),43,43 x polystyrene balls
22089,Foam insulation & packaging (whole and remnants),40,40 x polystyrene balls
21538,Foam insulation & packaging (whole and remnants),35,35 x polystyrene balls
21484,Foam insulation & packaging (whole and remnants),35,35 x polystyrene balls
