event_id,Type,tot,item
20799,Plastic resin pellet,3564,Primary plastics
20799,Plastic resin pellet,144,Primary plastics
20800,Plastic resin pellet,56,Primary plastics
20801,Plastic resin pellet,3,Primary plastics
20760,Plastic resin pellet,810,Primary plastics
20761,Plastic resin pellet,1100,Primary plastics
20762,Plastic resin pellet,3396,Primary plastics
20763,Plastic resin pellet,3050,Primary plastics
20764,Plastic resin pellet,476,Primary plastics
20852,Plastic resin pellet,14,Primary plastics
20856,Plastic resin pellet,5250,Primary plastics
20917,Plastic resin pellet,3,Primary plastics
20922,Plastic resin pellet,9,Primary plastics
20820,Plastic resin pellet,340,Primary plastics
20824,Plastic resin pellet,380,Primary plastics
21520,Plastic resin pellet,7300,Primary plastics
21520,Plastic chips,144000,Secondary plastics
21453,Plastic resin pellet,1808,Primary plastics
21454,Plastic resin pellet,829,Primary plastics
21455,Plastic resin pellet,1560,Primary plastics
21457,Plastic resin pellet,1890,Primary plastics
21534,Plastic resin pellet,2920,Primary plastics
21525,Plastic resin pellet,1,Primary plastics
21460,Plastic resin pellet,1,Primary plastics
21475,Glass beads,28000,Glass beads
21378,Plastic resin pellet,325,Primary plastics
21379,Plastic resin pellet,2,Primary plastics
21382,Plastic resin pellet,1816,Primary plastics
21957,Plastic shards,360,Secondary plastics
21957,Plastic resin pellet,60,Primary plastics
21958,Plastic resin pellet,21,Primary plastics
21958,Plastic shards,15,Secondary plastics
21959,Plastic resin pellet,21696,Primary plastics
21959,Plastic shards,74112,Secondary plastics
21961,Plastic resin pellet,4,Primary plastics
21979,Plastic resin pellet,468,Primary plastics
21981,Plastic resin pellet,1680,Primary plastics
21982,Plastic resin pellet,4570,Primary plastics
21983,Plastic resin pellet,657,Primary plastics
21984,Plastic resin pellet,512,Primary plastics
22107,Plastic resin pellet,405,Primary plastics
22109,Plastic resin pellet,9,Primary plastics
22111,Plastic resin pellet,2900,Primary plastics
21865,Plastic resin pellet,1,Primary plastics
22068,Plastic resin pellet,516,Primary plastics
22069,Plastic resin pellet,12,Primary plastics
22073,Plastic resin pellet,2359,Primary plastics
22476,Plastic resin pellet,13,Primary plastics
22477,Plastic resin pellet,56,Primary plastics
22479,Plastic shards,128000,Secondary plastics
22479,Plastic resin pellet,3840,Primary plastics
22556,Plastic resin pellet,150,Primary plastics
22557,Plastic resin pellet,19872,Primary plastics
22558,Plastic resin pellet,10960,Primary plastics
22559,Plastic resin pellet,2400,Primary plastics
22560,Plastic resin pellet,2240,Primary plastics
22538,Plastic resin pellet,6,Primary plastics
22517,Plastic resin pellet,1290,Primary plastics
22518,Plastic resin pellet,15,Primary plastics
22521,Plastic resin pellet,3200,Primary plastics
22623,Plastic resin pellet,2,Primary plastics
22609,Plastic resin pellet,6,Primary plastics
22483,Plastic resin pellet,520,Primary plastics
22485,Plastic resin pellet,47,Primary plastics
22488,Plastic resin pellet,2531,Primary plastics
23215,Plastic resin pellet,504,Primary plastics
23215,Plastic shards,1704,Secondary plastics
23216,Plastic shards,960,Secondary plastics
23216,Plastic resin pellet,160,Primary plastics
23217,Plastic resin pellet,704,Primary plastics
23217,Plastic shards,6320,Secondary plastics
23219,Plastic resin pellet,16,Primary plastics
23143,Plastic resin pellet,1940,Primary plastics
23144,Plastic resin pellet,32783,Primary plastics
23145,Plastic resin pellet,21568,Primary plastics
23146,Plastic resin pellet,4976,Primary plastics
23146,Plastic shards,32,Secondary plastics
23147,Plastic resin pellet,224,Primary plastics
23147,Plastic chips,48,Secondary plastics
23161,Plastic shards,408,Secondary plastics
23161,Plastic resin pellet,1887,Primary plastics
23110,Plastic resin pellet,1,Primary plastics
23220,Plastic shards,384,Secondary plastics
23220,Plastic resin pellet,5024,Primary plastics
23221,Plastic resin pellet,284,Primary plastics
23224,Plastic resin pellet,12736,Primary plastics
23933,Plastic shards,26390,Secondary plastics
23933,Plastic resin pellet,1408,Primary plastics
23770,Plastic resin pellet,1,Primary plastics
23782,Plastic resin pellet,130,Primary plastics
23783,Plastic resin pellet,1360,Primary plastics
23784,Plastic resin pellet,6300,Primary plastics
23785,Plastic resin pellet,1720,Primary plastics
23786,Plastic resin pellet,1267,Primary plastics
23803,Plastic resin pellet,12,Primary plastics
23825,Plastic resin pellet,10,Primary plastics
23830,Plastic resin pellet,17888,Primary plastics
23837,Plastic resin pellet,1,Primary plastics
23867,Polystyrene balls,13600,Polystyrene balls
21495,Polystyrene balls,4954,Polystyrene balls
23162,Polystyrene balls,1609,Polystyrene balls
21439,Polystyrene balls,1600,Polystyrene balls
20822,Polystyrene balls,1442,Polystyrene balls
22462,Polystyrene balls,885,Polystyrene balls
23807,Polystyrene balls,682,Polystyrene balls
21486,Polystyrene balls,489,Polystyrene balls
21536,Polystyrene balls,444,Polystyrene balls
20910,Polystyrene balls,425,Polystyrene balls
22088,Polystyrene balls,410,Polystyrene balls
21487,Polystyrene balls,403,Polystyrene balls
22592,Polystyrene balls,380,Polystyrene balls
21384,Polystyrene balls,355,Polystyrene balls
21542,Polystyrene balls,319,Polystyrene balls
23226,Polystyrene balls,302,Polystyrene balls
21498,Polystyrene balls,260,Polystyrene balls
20897,Polystyrene balls,250,Polystyrene balls
22517,Polystyrene balls,209,Polystyrene balls
22456,Polystyrene balls,203,Polystyrene balls
20859,Polystyrene balls,131,Polystyrene balls
21491,Polystyrene balls,114,Polystyrene balls
22496,Polystyrene balls,108,Polystyrene balls
21540,Polystyrene balls,84,Polystyrene balls
21481,Polystyrene balls,84,Polystyrene balls
23227,Polystyrene balls,80,Polystyrene balls
22090,Polystyrene balls,68,Polystyrene balls
21879,Polystyrene balls,65,Polystyrene balls
22091,Polystyrene balls,60,Polystyrene balls
21479,Polystyrene balls,57,Polystyrene balls
21547,Polystyrene balls,56,Polystyrene balls
22593,Polystyrene balls,55,Polystyrene balls
21496,Polystyrene balls,52,Polystyrene balls
21480,Polystyrene balls,52,Polystyrene balls
21867,Polystyrene balls,52,Polystyrene balls
21862,Polystyrene balls,52,Polystyrene balls
22092,Polystyrene balls,46,Polystyrene balls
21771,Polystyrene balls,45,Polystyrene balls
23225,Polystyrene balls,44,Polystyrene balls
21464,Polystyrene balls,43,Polystyrene balls
22089,Polystyrene balls,40,Polystyrene balls
21538,Polystyrene balls,35,Polystyrene balls
21484,Polystyrene balls,35,Polystyrene balls
21509,Polystyrene balls,32,Polystyrene balls
