Asset ID,Cycle,event_id,date,event.tot,event.wt,vol,hr
DC11,C1,20788,29/10/19,359,4.8,5,5
DC12,C1,20793,29/10/19,98,1.5,5,5
DC13,C1,20794,29/10/19,82,6.8,5,5
DC14,C1,20795,29/10/19,160,15.6,5,5
DC15,C1,20796,29/10/19,147,9.7,5,5
DC16,C1,20797,29/10/19,54,4.9,5,5
DC17,C1,20798,29/10/19,23,1.5,5,5
DC18,C1,20799,29/10/19,126,3.9,5,5
DC19,C1,20800,29/10/19,101,6,5,5
DC20,C1,20801,29/10/19,38,2.4,5,5
DC06,C1,20783,29/10/19,48,0.8,5,5
DC07,C1,20784,29/10/19,93,11,5,5
DC08,C1,20785,29/10/19,135,20.1,5,5
DC09,C1,20786,29/10/19,77,2,5,5
DC10,C1,20787,29/10/19,103,2,5,5
DC01,C1,20772,29/10/19,231,2.8,5,5
DC02,C1,20773,29/10/19,442,2.8,5,5
DC03,C1,20780,29/10/19,320,1.8,5,5
DC04,C1,20781,29/10/19,225,1.2,5,5
DC05,C1,20782,29/10/19,403,6.5,5,5
HB01,C1,20743,28/10/19,131,4,5,5
HB02,C1,20744,28/10/19,133,2.5,5,5
HB03,C1,20745,28/10/19,76,0.7,5,5
HB04,C1,20746,28/10/19,58,11,5,5
HB05,C1,20747,28/10/19,120,3,5,5
HB16,C1,20760,28/10/19,100,6,5,5
HB17,C1,20761,28/10/19,122,1,5,5
HB18,C1,20762,28/10/19,65,10.8,5,5
HB19,C1,20763,28/10/19,63,1,5,5
HB20,C1,20764,28/10/19,44,2.2,5,5
HB06,C1,20748,28/10/19,75,5.1,5,5
HB07,C1,20749,28/10/19,54,0.7,5,5
HB08,C1,20750,28/10/19,67,1,5,5
HB09,C1,20751,28/10/19,148,3.4,5,5
HB10,C1,20752,28/10/19,143,1.4,5,5
HB11,C1,20753,28/10/19,45,0.7,0,0
HB12,C1,20754,28/10/19,108,1.6,5,5
HB13,C1,20756,28/10/19,84,1,5,5
HB14,C1,20757,28/10/19,58,0.9,5,5
HB15,C1,20758,28/10/19,49,0.5,5,5
KC11,C1,20857,29/10/19,135,2.1,5,5
KC12,C1,20858,29/10/19,158,3,5,5
KC13,C1,20859,29/10/19,296,0.8,5,5
KC14,C1,20860,29/10/19,161,4.2,5,5
KC15,C1,20861,29/10/19,109,3,5,5
KC06,C1,20852,29/10/19,82,4.4,5,5
KC07,C1,20853,29/10/19,101,8.6,5,5
KC08,C1,20854,29/10/19,31,1,5,5
KC09,C1,20855,29/10/19,26,1.8,5,5
KC10,C1,20856,29/10/19,58,2.5,5,5
KC16,C1,20862,29/10/19,51,2.9,5,5
KC17,C1,20863,29/10/19,84,5.2,5,5
KC18,C1,20864,29/10/19,54,5.9,5,5
KC19,C1,20865,29/10/19,30,23.6,5,5
KC20,C1,20866,29/10/19,31,2.1,5,5
KC01,C1,20847,29/10/19,312,1,5,5
KC02,C1,20848,29/10/19,43,1.4,5,5
KC03,C1,20849,29/10/19,90,0.5,5,5
KC04,C1,20850,29/10/19,169,2.2,5,5
KC05,C1,20851,29/10/19,118,1.5,5,5
MB11,C1,20880,28/10/19,78,1.9,5,5
MB12,C1,20881,28/10/19,420,3.2,5,5
MB13,C1,20882,28/10/19,294,5.5,5,5
MB14,C1,20883,28/10/19,158,7.1,5,5
MB15,C1,20884,28/10/19,109,0.9,5,5
MB01,C1,20870,28/10/19,44,7,5,5
MB02,C1,20871,28/10/19,32,0.6,5,5
MB03,C1,20872,28/10/19,63,0.8,5,5
MB04,C1,20873,28/10/19,31,1.3,5,5
MB05,C1,20874,28/10/19,201,7.5,5,5
MB06,C1,20875,28/10/19,192,0.6,5,5
MB07,C1,20876,28/10/19,375,1.8,5,5
MB08,C1,20877,28/10/19,559,5.8,5,5
MB09,C1,20878,28/10/19,536,6,5,5
MB10,C1,20879,28/10/19,263,2.1,5,5
MB16,C1,20885,1/11/19,76,4.3,5,5
MB17,C1,20886,1/11/19,110,5.1,5,5
MB18,C1,20887,1/11/19,37,1.1,5,5
MB19,C1,20888,1/11/19,74,3.1,5,5
MB20,C1,20889,1/11/19,81,4.8,5,5
MC06,C1,20895,28/10/19,398,4.9,5,5
MC07,C1,20896,28/10/19,30,0.7,5,5
MC08,C1,20897,28/10/19,804,6.7,5,5
MC09,C1,20899,28/10/19,144,24,5,5
MC10,C1,20900,28/10/19,405,2.6,5,5
MC16,C1,20916,29/10/19,110,2.2,5,5
MC17,C1,20917,29/10/19,112,3.7,5,5
MC18,C1,20920,29/10/19,41,0.3,5,5
MC19,C1,20921,29/10/19,70,1,5,5
MC20,C1,20922,29/10/19,124,4.7,5,5
MC01,C1,20890,28/10/19,25,0.8,5,5
MC02,C1,20891,28/10/19,201,2.6,5,5
MC03,C1,20892,29/10/19,28,1,5,5
MC04,C1,20893,29/10/19,50,1.1,5,5
MC05,C1,20894,28/10/19,56,4.7,5,5
MC11,C1,20901,1/11/19,54,3,5,5
MC12,C1,20904,1/11/19,158,11.3,5,5
MC13,C1,20905,1/11/19,29,0.3,5,5
MC14,C1,20907,1/11/19,39,0.2,5,5
MC15,C1,20910,29/10/19,564,5.6,5,5
WC16,C1,20837,1/11/19,44,2.2,5,5
WC17,C1,20838,1/11/19,195,5.1,5,5
WC18,C1,20839,1/11/19,73,4.6,3,3
WC19,C1,20840,1/11/19,178,10,5,5
WC20,C1,20841,1/11/19,144,8.4,5,5
WC01,C1,20820,28/10/19,147,6.9,5,5
WC02,C1,20821,28/10/19,18,0.7,5,5
WC03,C1,20822,28/10/19,1480,1.2,5,5
WC04,C1,20823,28/10/19,48,0.8,5,5
WC05,C1,20824,28/10/19,88,4.7,5,5
