item_code_id,mdimcode,material,A1,category,A2,item.type,A3,item.ex,dispersion,dc_code,kw_mdsi,Source,kw_activity_group,kw_ldsi
NA,9002,Admin,Admin,Miscellaneous Categories,Other: Misc,"Anecdotal data, see cleanup note","Anecdotal data, see cleanup note","Admin, anecdotal, data, information, notes",N/A,9,Admin,NA,Admin,Admin
NA,9000,Admin,Admin,Miscellaneous Categories,Other: Misc,Admin no rubbish found,No rubbish found,"Admin, no, rubbish, debris, found, beach, jetty, clean, clear",N/A,9,Admin,NA,Admin,Admin
NA,9001,Admin,Admin,Miscellaneous Categories,Other: Misc,Cleanup data not recorded,Cleanup data not recorded,"Admin, cleanup, data, no, not, recorded",N/A,9,Admin,NA,Admin,Admin
654,1708,Cloth,Cloth,Cloth Items,Cloth: Rope & string,Rope natural (estimated length in metres),Rope natural (estimated length in metres),"Cloth, rope, cord, natural, fibres, hemp, sisal, jute",Encumbered Drift,6,CommFish,Fishing (Commercial),Fishing Commercial,Dumping
56,1407,Foam,Expanded plastic,Foam Items,Exapanded Plastic: Fishing,Drift net floats,Drift net floats,"Foam, drift, net, floats, gill",Very Mobile,6,CommFish,Fishing (Commercial),Fishing Commercial,Fishing
576,1402,Foam,Expanded plastic,Foam Items,Exapanded Plastic: Fishing,Foam buoys,Foam buoys,"Foam, buoys, floats, cray, long, line, marker, mooring",Very Mobile,6,CommFish,Fishing (Commercial),Fishing Commercial,Fishing
600,1824,Metal,Metal,Metal Items,Metal: Fishing,Metal buoys & Floats,Metal floats,"Metal, buoys, aluminium, steel",Very Mobile,6,CommFish,Fishing (Commercial),Fishing Commercial,Fishing
589,3000,Large,Other,Miscellaneous Categories,Other: Large,Large item,Large item,"Large, too, big, very, boat, heavy, concrete, block, footing, water, tank, car, metal",Encumbered Drift,3,CommFish,Abandonment,Fishing Commercial,Abandonment
540,1218,Plastic,Hard plastic,Plastic Fishing Items,Hard Plastic: Fishing,Aquaculture items,Aquaculture items,"Plastic, Aquaculture, farming, pearl, frames, buoys, oyster, rubber, bandings, bioballs, trays, crates, mesh, spacers ",Unencumbered Drift,4,CommFish,Abandonment,Aquaculture,Abandonment
542,1204,Plastic,Hard plastic,Plastic Fishing Items,Hard Plastic: Fishing,"Bait containers & lids, bait savers",Bait containers & lids,"Plastic, commercial, fishing, bait, containers, lids, baskets, savers",Limited Dispersion,6,CommFish,Fishing (Commercial),Fishing Commercial,Fishing
