Asset ID,Cycle,event_id,date,event.tot,event.wt,vol,hr,covid
DC11,C1,20788,29/10/2019,359,4.8,5,5,1
DC12,C1,20793,29/10/2019,98,1.5,5,5,1
DC13,C1,20794,29/10/2019,82,6.8,5,5,1
DC14,C1,20795,29/10/2019,160,15.6,5,5,1
DC15,C1,20796,29/10/2019,147,9.7,5,5,1
DC16,C1,20797,29/10/2019,54,4.9,5,5,1
DC17,C1,20798,29/10/2019,23,1.5,5,5,1
DC18,C1,20799,29/10/2019,126,3.9,5,5,1
DC19,C1,20800,29/10/2019,101,6,5,5,1
DC20,C1,20801,29/10/2019,38,2.4,5,5,1
DC06,C1,20783,29/10/2019,48,0.8,5,5,1
DC07,C1,20784,29/10/2019,93,11,5,5,1
DC08,C1,20785,29/10/2019,135,20.1,5,5,1
DC09,C1,20786,29/10/2019,77,2,5,5,1
DC10,C1,20787,29/10/2019,103,2,5,5,1
DC01,C1,20772,29/10/2019,231,2.8,5,5,1
DC02,C1,20773,29/10/2019,442,2.8,5,5,1
DC03,C1,20780,29/10/2019,320,1.8,5,5,1
DC04,C1,20781,29/10/2019,225,1.2,5,5,1
DC05,C1,20782,29/10/2019,403,6.5,5,5,1
HB01,C1,20743,28/10/2019,131,4,5,5,1
HB02,C1,20744,28/10/2019,133,2.5,5,5,1
HB03,C1,20745,28/10/2019,76,0.7,5,5,1
HB04,C1,20746,28/10/2019,58,11,5,5,1
HB05,C1,20747,28/10/2019,120,3,5,5,1
HB16,C1,20760,28/10/2019,100,6,5,5,1
HB17,C1,20761,28/10/2019,122,1,5,5,1
HB18,C1,20762,28/10/2019,65,10.8,5,5,1
HB19,C1,20763,28/10/2019,63,1,5,5,1
HB20,C1,20764,28/10/2019,44,2.2,5,5,1
HB06,C1,20748,28/10/2019,75,5.1,5,5,1
HB07,C1,20749,28/10/2019,54,0.7,5,5,1
HB08,C1,20750,28/10/2019,67,1,5,5,1
HB09,C1,20751,28/10/2019,148,3.4,5,5,1
HB10,C1,20752,28/10/2019,143,1.4,5,5,1
HB11,C1,20753,28/10/2019,45,0.7,0,0,1
HB12,C1,20754,28/10/2019,108,1.6,5,5,1
HB13,C1,20756,28/10/2019,84,1,5,5,1
HB14,C1,20757,28/10/2019,58,0.9,5,5,1
HB15,C1,20758,28/10/2019,49,0.5,5,5,1
KC11,C1,20857,29/10/2019,135,2.1,5,5,1
KC12,C1,20858,29/10/2019,158,3,5,5,1
KC13,C1,20859,29/10/2019,296,0.8,5,5,1
KC14,C1,20860,29/10/2019,161,4.2,5,5,1
KC15,C1,20861,29/10/2019,109,3,5,5,1
KC06,C1,20852,29/10/2019,82,4.4,5,5,1
KC07,C1,20853,29/10/2019,101,8.6,5,5,1
KC08,C1,20854,29/10/2019,31,1,5,5,1
KC09,C1,20855,29/10/2019,26,1.8,5,5,1
KC10,C1,20856,29/10/2019,58,2.5,5,5,1
KC16,C1,20862,29/10/2019,51,2.9,5,5,1
KC17,C1,20863,29/10/2019,84,5.2,5,5,1
KC18,C1,20864,29/10/2019,54,5.9,5,5,1
KC19,C1,20865,29/10/2019,30,23.6,5,5,1
KC20,C1,20866,29/10/2019,31,2.1,5,5,1
KC01,C1,20847,29/10/2019,312,1,5,5,1
KC02,C1,20848,29/10/2019,43,1.4,5,5,1
KC03,C1,20849,29/10/2019,90,0.5,5,5,1
KC04,C1,20850,29/10/2019,169,2.2,5,5,1
KC05,C1,20851,29/10/2019,118,1.5,5,5,1
MB11,C1,20880,28/10/2019,78,1.9,5,5,1
MB12,C1,20881,28/10/2019,420,3.2,5,5,1
MB13,C1,20882,28/10/2019,294,5.5,5,5,1
MB14,C1,20883,28/10/2019,158,7.1,5,5,1
MB15,C1,20884,28/10/2019,109,0.9,5,5,1
MB01,C1,20870,28/10/2019,44,7,5,5,1
MB02,C1,20871,28/10/2019,32,0.6,5,5,1
MB03,C1,20872,28/10/2019,63,0.8,5,5,1
MB04,C1,20873,28/10/2019,31,1.3,5,5,1
MB05,C1,20874,28/10/2019,201,7.5,5,5,1
MB06,C1,20875,28/10/2019,192,0.6,5,5,1
MB07,C1,20876,28/10/2019,375,1.8,5,5,1
MB08,C1,20877,28/10/2019,559,5.8,5,5,1
MB09,C1,20878,28/10/2019,536,6,5,5,1
MB10,C1,20879,28/10/2019,263,2.1,5,5,1
MB16,C1,20885,1/11/2019,76,4.3,5,5,1
MB17,C1,20886,1/11/2019,110,5.1,5,5,1
MB18,C1,20887,1/11/2019,37,1.1,5,5,1
MB19,C1,20888,1/11/2019,74,3.1,5,5,1
MB20,C1,20889,1/11/2019,81,4.8,5,5,1
MC06,C1,20895,28/10/2019,398,4.9,5,5,1
MC07,C1,20896,28/10/2019,30,0.7,5,5,1
MC08,C1,20897,28/10/2019,804,6.7,5,5,1
MC09,C1,20899,28/10/2019,144,24,5,5,1
MC10,C1,20900,28/10/2019,405,2.6,5,5,1
MC16,C1,20916,29/10/2019,110,2.2,5,5,1
MC17,C1,20917,29/10/2019,112,3.7,5,5,1
MC18,C1,20920,29/10/2019,41,0.3,5,5,1
MC19,C1,20921,29/10/2019,70,1,5,5,1
MC20,C1,20922,29/10/2019,124,4.7,5,5,1
MC01,C1,20890,28/10/2019,25,0.8,5,5,1
MC02,C1,20891,28/10/2019,201,2.6,5,5,1
MC03,C1,20892,29/10/2019,28,1,5,5,1
MC04,C1,20893,29/10/2019,50,1.1,5,5,1
MC05,C1,20894,28/10/2019,56,4.7,5,5,1
MC11,C1,20901,1/11/2019,54,3,5,5,1
MC12,C1,20904,1/11/2019,158,11.3,5,5,1
MC13,C1,20905,1/11/2019,29,0.3,5,5,1
MC14,C1,20907,1/11/2019,39,0.2,5,5,1
MC15,C1,20910,29/10/2019,564,5.6,5,5,1
WC16,C1,20837,1/11/2019,44,2.2,5,5,1
WC17,C1,20838,1/11/2019,195,5.1,5,5,1
WC18,C1,20839,1/11/2019,73,4.6,3,3,1
WC19,C1,20840,1/11/2019,178,10,5,5,1
WC20,C1,20841,1/11/2019,144,8.4,5,5,1
WC01,C1,20820,28/10/2019,147,6.9,5,5,1
WC02,C1,20821,28/10/2019,18,0.7,5,5,1
WC03,C1,20822,28/10/2019,1480,1.2,5,5,1
WC04,C1,20823,28/10/2019,48,0.8,5,5,1
WC05,C1,20824,28/10/2019,88,4.7,5,5,1
WC06,C1,20825,28/10/2019,95,0.8,5,5,1
WC07,C1,20826,28/10/2019,55,0.4,5,5,1
WC08,C1,20827,28/10/2019,59,0.6,5,5,1
WC09,C1,20828,28/10/2019,35,1.8,5,5,1
WC10,C1,20829,28/10/2019,77,4.3,5,5,1
WC11,C1,20830,28/10/2019,85,2.2,5,5,1
WC12,C1,20831,28/10/2019,85,0.9,5,5,1
WC13,C1,20832,28/10/2019,87,1.1,5,5,1
WC14,C1,20833,28/10/2019,18,0.3,5,5,1
WC15,C1,20834,28/10/2019,131,3.8,5,5,1
DC11,C2,21513,10/12/2019,343,0.9,5,5,1
DC12,C2,21514,10/12/2019,117,0.8,5,5,1
DC13,C2,21515,10/12/2019,142,2.8,5,5,1
DC14,C2,21516,10/12/2019,231,11.8,5,5,1
DC15,C2,21517,10/12/2019,227,5.4,5,5,1
DC16,C2,21518,10/12/2019,69,5.8,5,5,1
DC17,C2,21519,10/12/2019,44,2.3,5,5,1
DC18,C2,21520,10/12/2019,66,4,5,5,1
DC19,C2,21523,10/12/2019,114,0.7,5,5,1
DC20,C2,21524,10/12/2019,49,0.5,5,5,1
DC06,C2,21508,10/12/2019,107,0.8,5,5,1
DC07,C2,21509,10/12/2019,213,5.3,5,5,1
DC08,C2,21510,10/12/2019,344,5.4,5,5,1
DC09,C2,21511,10/12/2019,117,1.4,5,5,1
DC10,C2,21512,10/12/2019,119,3.1,5,5,1
DC01,C2,21501,10/12/2019,375,2,5,5,1
DC02,C2,21502,10/12/2019,198,3.5,6,6,1
DC03,C2,21503,10/12/2019,298,0.5,5,5,1
DC04,C2,21504,10/12/2019,206,1.8,5,5,1
DC05,C2,21505,10/12/2019,1064,11.6,5,5,1
HB01,C2,21438,9/12/2019,133,7.8,5,5,1
HB02,C2,21439,9/12/2019,1709,4.4,5,5,1
HB03,C2,21440,9/12/2019,88,1.8,5,5,1
HB04,C2,21441,9/12/2019,133,8.3,5,5,1
HB05,C2,21442,9/12/2019,133,5,5,5,1
HB16,C2,21453,9/12/2019,25,7.4,5,5,1
HB17,C2,21454,9/12/2019,52,2,5,5,1
HB18,C2,21455,9/12/2019,50,19.5,5,5,1
HB19,C2,21456,9/12/2019,26,4.3,5,5,1
HB20,C2,21457,9/12/2019,53,4.5,5,5,1
HB06,C2,21443,9/12/2019,108,10,5,5,1
HB07,C2,21444,9/12/2019,160,1.7,5,5,1
HB08,C2,21445,9/12/2019,208,8.5,5,5,1
HB09,C2,21446,9/12/2019,200,1.4,5,5,1
HB10,C2,21447,9/12/2019,75,0.5,5,5,1
HB11,C2,21448,9/12/2019,27,1.5,5,5,1
HB12,C2,21449,9/12/2019,93,3.1,5,5,1
HB13,C2,21450,9/12/2019,47,2.1,5,5,1
HB14,C2,21451,9/12/2019,70,1.1,5,5,1
HB15,C2,21452,9/12/2019,103,9.3,5,5,1
KC11,C2,21536,10/12/2019,591,1.2,6,6,1
KC12,C2,21538,10/12/2019,1061,1.5,6,6,1
KC13,C2,21540,10/12/2019,419,1.2,6,6,1
KC14,C2,21541,10/12/2019,282,1.7,6,6,1
KC15,C2,21542,10/12/2019,621,3,6,6,1
KC06,C2,21530,10/12/2019,59,2.1,6,6,1
KC07,C2,21531,10/12/2019,54,5.8,6,6,1
KC08,C2,21532,10/12/2019,43,0.8,6,6,1
KC09,C2,21533,10/12/2019,49,2.7,6,6,1
