event_id,item,total,note
23937,"Miscellaneous paper, labels & tickets",11,"10 x paper remnants, 1 x sandpaper"
23937,Cigarette butts & filters,6,
23937,Plastic wrap non food (bubble wrap etc),5,2 x plastic cigarette pack wrap
23937,Plastic bits & pieces hard & solid,4,
23937,"Plastic sheeting (tarpaulin, woven bags, pallet wrap)",3,
23937,"Plastic film remnants (bits of plastic bag, wrap etc)",2,
23937,Plastic first aid materials & equipment (band aids),1,1 x alcohol swab
23937,"Processed timber, pallets & other wood",1,
23937,"Foil wrappers, packets, bladders & alfoil",1,
23937,Container contents intact & spilt content,1,
23937,Cable ties & plastic fasteners,1,
23937,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23937,Paper & cardboard packaging,1,1 x cardboard package
23937,"Plastic packaging food (wrap, packets, containers)",1,1 x confectionery
23935,Plastic bits & pieces hard & solid,15,
23935,"Plastic film remnants (bits of plastic bag, wrap etc)",8,
23935,"Plastic packaging food (wrap, packets, containers)",6,"2 x confectionery, 2 x McDonalds, 1 x Gloria Jeans cup, 1 x Woolworths waterbottle label"
23935,Cigarette butts & filters,6,
23935,Foam insulation & packaging (whole and remnants),5,
23935,"Miscellaneous paper, labels & tickets",4,4 x paper remnants
23935,Rubber remnants,3,
23935,Paper & cardboard packaging,3,"1 x cardboard package, 2 x McDonalds"
23935,Plastic wrap non food (bubble wrap etc),3,3 x plastic cigarette pack wrap
23935,"Plastic drink bottles (water, juice, milk, soft drink)",3,"1 x Local Spring Water bottle, 1 x Frantelle"
23935,Strapping band whole (record as single item),2,
23935,"Foil wrappers, packets, bladders & alfoil",2,
23935,"Straws, confection sticks, cups, plates & cutlery",1,1 x lollipop stick
23935,"Lids & tops, pump spray, flow restrictor & similar",1,
23935,"Plastic bags supermarket, garbage, dog poo, ice",1,1 x other plastic bag
23935,"Sanitary (tissues, nappies, condoms, cotton buds)",1,
23935,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23935,Cable ties & plastic fasteners,1,
23935,"Cloth, clothing, hats & towels",1,
23933,Cigarette butts & filters,17,
23933,Plastic bits & pieces hard & solid,10,
23933,"Plastic film remnants (bits of plastic bag, wrap etc)",8,
23933,Foam insulation & packaging (whole and remnants),3,
23933,"Plastic packaging food (wrap, packets, containers)",2,"1 x coffee cup lid, 1 x other food package"
23933,"Lids & tops, pump spray, flow restrictor & similar",2,
23933,Tags,1,
23933,"Sanitary (tissues, nappies, condoms, cotton buds)",1,1 x cotton bud stick
23933,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23933,Rubber remnants,1,
23933,Pollution Rating,0,1408 x plastic resin pellets removed from trap
23933,Pollution Rating,0,26390 x plastic shards removed from trap
23932,"Plastic packaging food (wrap, packets, containers)",3,"1 x confectionery, 2 x other food package"
23932,Cigarette butts & filters,2,
23932,Plastic bits & pieces hard & solid,1,
23932,"Plastic film remnants (bits of plastic bag, wrap etc)",1,
23932,"Foil wrappers, packets, bladders & alfoil",1,
23932,Plastic wrap non food (bubble wrap etc),1,1 x plastic cigarette pack wrap
23932,Foam insulation & packaging (whole and remnants),1,
23932,"Miscellaneous paper, labels & tickets",1,1 x paper remnant
23931,"Plastic film remnants (bits of plastic bag, wrap etc)",12,
23931,Cigarette butts & filters,10,
23931,"Plastic packaging food (wrap, packets, containers)",8,"2 x confectionery, 1 x McDonalds, 1 x Mount Franklin waterbottle label, 4 x other food package"
23931,"Miscellaneous paper, labels & tickets",4,4 x paper remnants
23931,Plastic bits & pieces hard & solid,4,
23931,"Lids & tops, pump spray, flow restrictor & similar",2,
23931,Plastic wrap non food (bubble wrap etc),2,1 x plastic cigarette pack wrap
23931,Occupational health & safety items,1,1 x earplug
23931,Paper & cardboard packaging,1,1 x paper coffee cup
23931,"Plastic drink bottles (water, juice, milk, soft drink)",1,
23931,"Sanitary (tissues, nappies, condoms, cotton buds)",1,1 x cotton bud sticks
23930,Cigarette butts & filters,19,
23930,Plastic bits & pieces hard & solid,10,
23930,"Plastic film remnants (bits of plastic bag, wrap etc)",7,
23930,Plastic wrap non food (bubble wrap etc),6,6 x plastic cigarette pack wrap
23930,"Plastic packaging food (wrap, packets, containers)",6,6 x confectionery
23930,"Miscellaneous paper, labels & tickets",5,"1 x paper receipt, 4 x paper remnants"
23930,"Foil wrappers, packets, bladders & alfoil",5,
23930,"Metal bottle caps, lids & pull tabs",3,
23930,Glass or ceramic broken,2,
23930,"Plastic drink bottles (water, juice, milk, soft drink)",2,"1 x Northbrook waterbottle, 1 x Gatorade, "
23930,"Plastic bags supermarket, garbage, dog poo, ice",2,2 x ziplock bag
23930,"Personal effects (wallets, money, keys, jewellery)",1,
23930,Personal care & pharmaceutical packaging,1,
23930,Aluminium cans,1,1 x Rani Float drink
23930,"Lids & tops, pump spray, flow restrictor & similar",1,
23930,"Toothbrushes, brushes & combs, hair ties etc",1,
23930,"Packaging accessories (seals, reels, spools, handles)",1,1 x plastic label
23930,Paper & cardboard packaging,1,1 x KFC
23929,Cigarette butts & filters,14,
23929,"Plastic packaging food (wrap, packets, containers)",11,"9 x confectionery, 1 x takeaway, 1 x Coles waterbottle label"
23929,"Plastic film remnants (bits of plastic bag, wrap etc)",10,
23929,Plastic wrap non food (bubble wrap etc),4,4 x plastic cigarette pack wrap
23929,"Foam cups, food packs & trays",3,
23929,Foam insulation & packaging (whole and remnants),2,
23929,"Lids & tops, pump spray, flow restrictor & similar",2,
23929,"Straws, confection sticks, cups, plates & cutlery",1,1 x straw
23929,Plastic bits & pieces hard & solid,1,
23929,Medical waste,1,
23929,Glass or ceramic broken,1,
23929,Aluminium cans,1,1 x Red Bull
23929,Personal care & pharmaceutical packaging,1,
23928,Plastic wrap non food (bubble wrap etc),2,1 x plastic cigarette pack wrap
23928,"Plastic packaging food (wrap, packets, containers)",2,2 x confectionery
23928,Cigarette butts & filters,2,
23928,"Plastic film remnants (bits of plastic bag, wrap etc)",1,
23928,"Toys, party poppers, ribbons, clips & similar",1,
23928,"Foil wrappers, packets, bladders & alfoil",1,
23927,Cigarette butts & filters,9,
23927,"Plastic packaging food (wrap, packets, containers)",6,"5 x confectionery, 1 x takeaway"
23927,Plastic wrap non food (bubble wrap etc),3,3 x plastic cigarette pack wrap
23927,Plastic bits & pieces hard & solid,3,
23927,Cable ties & plastic fasteners,2,
23927,Glass or ceramic broken,2,
23927,"Metal bottle caps, lids & pull tabs",1,
23927,"Pens, markers & other plastic stationary",1,
23927,"Plastic bags supermarket, garbage, dog poo, ice",1,1 x white shopping bag - reusable
23927,Aluminium cans,1,1 x Fanta
23927,"Plastic film remnants (bits of plastic bag, wrap etc)",1,
23927,Rubber remnants,1,
23926,Plastic wrap non food (bubble wrap etc),25,25 x plastic cigarette pack wrap
23926,Cigarette butts & filters,21,
23926,"Foil wrappers, packets, bladders & alfoil",7,
