event_id,item,total,coffee-item
20744,Paper & cardboard packaging,1 ,coffee cup
20745,Paper & cardboard packaging,1 ,coffee cup
20747,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
20753,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
20754,Paper & cardboard packaging,2 ,coffee cup
20757,Paper & cardboard packaging,1 ,coffee cup
20761,Paper & cardboard packaging,1 ,coffee cup
20764,Paper & cardboard packaging,1 ,coffee cup
20764,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20772,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
20788,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20788,Paper & cardboard packaging,1 ,coffee cup
20788,Paper & cardboard packaging,1 ,coffee cup
20794,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20795,"Plastic packaging food (wrap, packets, containers)",5 ,coffee lid
20797,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
20800,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
20800,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20800,Paper & cardboard packaging,1 ,coffee cup
20800,Paper & cardboard packaging,1 ,coffee cup
20820,Paper & cardboard packaging,1 ,coffee cup
20820,Paper & cardboard packaging,1 ,coffee cup
20822,Paper & cardboard packaging,2 ,coffee cup
20823,Paper & cardboard packaging,1 ,coffee cup
20823,Paper & cardboard packaging,1 ,coffee cup
20824,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20825,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20825,Paper & cardboard packaging,1 ,coffee cup
20827,Paper & cardboard packaging,1 ,coffee cup
20830,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
20834,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20837,Paper & cardboard packaging,1 ,coffee cup
20837,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20838,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
20851,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20853,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
20860,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
20861,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
20862,Paper & cardboard packaging,1 ,coffee cup
20872,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20873,Paper & cardboard packaging,1 ,coffee cup
20874,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20874,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20874,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20874,Paper & cardboard packaging,1 ,coffee cup
20874,Paper & cardboard packaging,2 ,coffee cup
20875,Paper & cardboard packaging,1 ,coffee cup
20876,Paper & cardboard packaging,1 ,coffee cup
20876,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
20878,"Plastic packaging food (wrap, packets, containers)",6 ,coffee lid
20878,Paper & cardboard packaging,6 ,coffee cup
20881,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
20881,Paper & cardboard packaging,1 ,coffee cup
20881,Paper & cardboard packaging,1 ,coffee cup
20882,"Plastic packaging food (wrap, packets, containers)",14,coffee lid
20882,Paper & cardboard packaging,4 ,coffee cup
20885,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
20887,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20887,Paper & cardboard packaging,1 ,coffee cup
20889,Paper & cardboard packaging,1 ,coffee cup
20891,Paper & cardboard packaging,1 ,coffee cup
20891,Paper & cardboard packaging,1 ,coffee cup
20894,Paper & cardboard packaging,1 ,coffee cup
20895,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20895,Paper & cardboard packaging,1 ,coffee cup
20897,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20904,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20904,Paper & cardboard packaging,1 ,coffee cup
20905,Paper & cardboard packaging,1 ,coffee cup
20910,Paper & cardboard packaging,1 ,coffee cup
20917,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
20917,Paper & cardboard packaging,1 ,coffee cup
20921,Paper & cardboard packaging,1 ,coffee cup
20922,Paper & cardboard packaging,1 ,coffee cup
21378,Paper & cardboard packaging,1 ,coffee cup
21381,Paper & cardboard packaging,1 ,coffee cup
21381,Paper & cardboard packaging,1 ,coffee cup
21382,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21382,Paper & cardboard packaging,1 ,coffee cup
21383,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21386,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21386,Paper & cardboard packaging,1 ,coffee cup
21388,Paper & cardboard packaging,1 ,coffee cup
21391,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21443,Paper & cardboard packaging,1 ,coffee cup
21444,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21444,Paper & cardboard packaging,1 ,coffee cup
21450,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21450,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21452,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
21454,Paper & cardboard packaging,1 ,coffee cup
21455,Paper & cardboard packaging,1 ,coffee cup
21455,Paper & cardboard packaging,1 ,coffee cup
21455,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21458,Paper & cardboard packaging,1 ,coffee cup
21462,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21463,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21465,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
21465,Paper & cardboard packaging,1 ,coffee lid
21465,Paper & cardboard packaging,2 ,coffee lid
21468,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21468,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
21468,Paper & cardboard packaging,2 ,coffee cup
21469,Paper & cardboard packaging,2 ,coffee cup
21469,"Plastic packaging food (wrap, packets, containers)",14,coffee lid
21472,Paper & cardboard packaging,1 ,coffee cup
21474,Paper & cardboard packaging,1 ,coffee cup
21476,Paper & cardboard packaging,1 ,coffee cup
21478,Paper & cardboard packaging,1 ,coffee cup
21479,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
21485,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21486,Paper & cardboard packaging,2 ,coffee cup
21486,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
21487,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21487,Paper & cardboard packaging,1 ,coffee cup
21491,Paper & cardboard packaging,1 ,coffee cup
21492,"Plastic packaging food (wrap, packets, containers)",4 ,coffee lid
21492,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21492,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21494,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21494,Paper & cardboard packaging,1 ,coffee cup
21497,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21497,Paper & cardboard packaging,1 ,coffee cup
21498,Paper & cardboard packaging,1 ,coffee cup
21498,Paper & cardboard packaging,1 ,coffee cup
21498,Paper & cardboard packaging,1 ,coffee cup
21500,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21501,Paper & cardboard packaging,1 ,coffee cup
21502,Paper & cardboard packaging,1 ,coffee cup
21503,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
21503,Paper & cardboard packaging,1 ,coffee cup
21505,Paper & cardboard packaging,1 ,coffee cup
21505,Paper & cardboard packaging,1 ,coffee cup
21505,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21509,Paper & cardboard packaging,1 ,coffee cup
21513,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
21515,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21515,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21515,Paper & cardboard packaging,1 ,coffee cup
21515,Paper & cardboard packaging,1 ,coffee cup
21516,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21517,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21519,Paper & cardboard packaging,1 ,coffee cup
21523,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21523,Paper & cardboard packaging,1 ,coffee cup
21524,Paper & cardboard packaging,1 ,coffee cup
21525,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21534,Paper & cardboard packaging,1 ,coffee cup
21540,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21541,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
21542,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
21548,Paper & cardboard packaging,1 ,coffee cup
21771,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21771,Paper & cardboard packaging,1 ,coffee cup
21857,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21857,Paper & cardboard packaging,1 ,coffee cup
21860,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
21860,Paper & cardboard packaging,1 ,coffee cup
21862,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21865,Paper & cardboard packaging,1 ,coffee cup
21866,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
21866,Paper & cardboard packaging,1 ,coffee cup
21866,Paper & cardboard packaging,1 ,coffee cup
21867,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21868,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21868,Paper & cardboard packaging,1 ,coffee cup
21871,Paper & cardboard packaging,2 ,coffee cup
21873,"Plastic packaging food (wrap, packets, containers)",5 ,coffee lid
21873,Paper & cardboard packaging,1 ,coffee cup
21874,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
21874,Paper & cardboard packaging,1 ,coffee cup
21879,Paper & cardboard packaging,2 ,coffee cup
21888,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21888,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21888,Paper & cardboard packaging,1 ,coffee cup
21901,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21902,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21902,Paper & cardboard packaging,4 ,coffee cup
21902,Paper & cardboard packaging,1 ,coffee cup
21903,Paper & cardboard packaging,1 ,coffee cup
21905,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
21905,Paper & cardboard packaging,2 ,coffee cup
21924,Paper & cardboard packaging,1 ,coffee cup
21927,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21951,Paper & cardboard packaging,1 ,coffee cup
21955,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21955,Paper & cardboard packaging,1 ,coffee cup
21975,Paper & cardboard packaging,1 ,coffee cup
21975,Paper & cardboard packaging,1 ,coffee cup
21981,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
21982,Paper & cardboard packaging,1 ,coffee cup
21982,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22068,Paper & cardboard packaging,1 ,coffee cup
22074,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22076,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22076,Paper & cardboard packaging,1 ,coffee cup
22076,Paper & cardboard packaging,1 ,coffee cup
22087,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22103,Paper & cardboard packaging,2 ,coffee cup
22108,Paper & cardboard packaging,1 ,coffee cup
22116,Paper & cardboard packaging,2 ,coffee cup
22117,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22123,Paper & cardboard packaging,2 ,coffee cup
22452,Paper & cardboard packaging,1 ,coffee cup
22452,Paper & cardboard packaging,1 ,coffee cup
22452,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22454,Paper & cardboard packaging,1 ,coffee cup
22461,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22462,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
22474,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22474,"Straws, confection sticks, cups, plates & cutlery",1 ,coffee cup
22486,Paper & cardboard packaging,4 ,coffee cup
22486,Paper & cardboard packaging,1 ,coffee cup
22486,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
22486,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
22486,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22487,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
22487,Paper & cardboard packaging,1 ,coffee cup
22488,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
22488,Paper & cardboard packaging,3 ,coffee cup
22489,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22490,Paper & cardboard packaging,1 ,coffee cup
22491,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22491,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22491,Paper & cardboard packaging,1 ,coffee cup
22498,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22505,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22505,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22505,Paper & cardboard packaging,1 ,coffee cup
22515,Paper & cardboard packaging,1 ,coffee cup
22517,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22521,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22521,Paper & cardboard packaging,1 ,coffee cup
22525,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22527,Paper & cardboard packaging,1 ,coffee cup
22529,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22529,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22529,Paper & cardboard packaging,1 ,coffee cup
22531,Paper & cardboard packaging,1 ,coffee cup
22534,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22535,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
22536,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22551,Paper & cardboard packaging,1 ,coffee cup
22556,Paper & cardboard packaging,2 ,coffee cup
22556,Paper & cardboard packaging,1 ,coffee cup
22556,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22593,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22601,Paper & cardboard packaging,1 ,coffee cup
22609,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22609,Paper & cardboard packaging,1 ,coffee cup
22613,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
22613,Paper & cardboard packaging,1 ,coffee cup
22617,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22618,"Plastic packaging food (wrap, packets, containers)",1 ,coffee cup
22620,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
22624,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
22624,Paper & cardboard packaging,1 ,coffee cup
