event_id,item,event_item,total,note
20757,Paper & cardboard packaging,20757 Paper & cardboard packaging,7,"1 x paper coffee cup, 2 x McDonalds takeaway, 2 x Hungry Jacks takeaway, 2 x chewing gum wrappers"
20758,Paper & cardboard packaging,20758 Paper & cardboard packaging,5,"2 x takeaway, 1 x Bakers Delight takeaway, 2 x chewing gum wrapper"
20761,"Miscellaneous paper, labels & tickets","20761 Miscellaneous paper, labels & tickets",51,"35 x miscellaneous paper, 16 x paper remnants"
20761,Paper & cardboard packaging,20761 Paper & cardboard packaging,15,"2 x KFC takeaway, 1 x Nandos takeaway, 1 x Uber Eats takeaway, 10 x McDonalds takeaway, 1 x paper coffee cup - Seven Eleven"
20772,Paper & cardboard packaging,20772 Paper & cardboard packaging,2,"1 x cigarette pack cardboard, 1 x chewing gum wrapper"
20772,"Plastic packaging food (wrap, packets, containers)","20772 Plastic packaging food (wrap, packets, containers)",54,"28 x straw wrappers, 19 x confectionery, 4 x Mentos, 2 x coffee cup lids, 1 x other food package"
20772,"Straws, confection sticks, cups, plates & cutlery","20772 Straws, confection sticks, cups, plates & cutlery",10,"2 x McDonalds straws, 5 x thick bubble tea straws with no branding, 1 x Gong Cha Tea plastic cup"
20773,"Miscellaneous paper, labels & tickets","20773 Miscellaneous paper, labels & tickets",27,"25 x paper remnants, 1 x miscellaneous paper, 1 x lotto ticket"
20773,Paper & cardboard packaging,20773 Paper & cardboard packaging,7,"2 x Gong Cha Tea takeaway wrap, 1x McDonalds takeaway, 2 x takeaway, 1 x chewing gum wrapper"
20773,"Plastic bags supermarket, garbage, dog poo, ice","20773 Plastic bags supermarket, garbage, dog poo, ice",18,"6 x white shopping bags, 2 x fruit and veg bags, 9 x other plastic bags, 1 x Gotcha Fresh Tea bag"
20773,"Plastic packaging food (wrap, packets, containers)","20773 Plastic packaging food (wrap, packets, containers)",135,"47 x straw wrappers, 7 x Gotcha Fresh Tea straw wrappers, 6 x Coco Tea straw wrappers, 37 x Share Tea straw wrappers, 2 x Kung Fu straw wrappers, 31 x confectionery, 1 x Mentos, 3 x takeaway, 1 x McDonalds takeaway"
20773,"Straws, confection sticks, cups, plates & cutlery","20773 Straws, confection sticks, cups, plates & cutlery",10,"2 x thick bubble tea straws with no branding, 1 x McDonalds cutlery, 1 x lollipop stick"
20780,Paper & cardboard packaging,20780 Paper & cardboard packaging,5,"4 x takeaway, 1 x chewing gum wrapper"
20780,"Plastic drink bottles (water, juice, milk, soft drink)","20780 Plastic drink bottles (water, juice, milk, soft drink)",2,1 x Mount Franklin Water Bottle
